card_name,in_perc_of_decks,avg_copies,deck_winrate,times_played,url,CLASS,RARITY,CARDTYPE,COLLECTIBLE,ELITE,COST,HEALTH,ATK,BATTLECRY,HAS_DIAMOND_QUALITY,MAX_SIDEBOARD_CARDS,DISCOVER,DECK_RULE_MOD_DECK_SIZE,MANATHIRST,TAG_SCRIPT_DATA_NUM_1,ENCHANTMENT_BIRTH_VISUAL,ENCHANTMENT_IDLE_VISUAL,CARDRACE,FACTION,TAUNT,AttackVisualType,TITAN,DONT_PICK_FROM_SUBSETS,AFFECTED_BY_HEALING_DOES_DAMAGE,COUNTER,USE_DISCOVER_VISUALS,AURA,DEATHRATTLE,FREEZE,DECK_ACTION_COST,FORGE,COLLECTION_RELATED_CARD_DATABASE_ID,FORGES_INTO,TRIGGER_VISUAL,MINI_SET,DIVINE_SHIELD,TECH_LEVEL,IS_BACON_POOL_MINION,CHARGE,HAS_SIGNATURE_QUALITY,MULTI_CLASS_GROUP,MULTIPLE_CLASSES,COMBO,COST_UNHOLY,CANT_BE_DAMAGED,OVERLOAD,REBORN,RUSH,DREDGE,SPELLPOWER,KABAL,CORPSE,SECRET,ADJACENT_BUFF,WHELP,BONUSEFFECTS,MAGNETIC,ENTITY_TAG_THRESHOLD_TAG_ID,ENTITY_TAG_THRESHOLD_VALUE,FROZEN,WINDFURY,FAST_BATTLECRY,OUTCAST,COST_FROST,POISONOUS,DevState,IMP,TOPDECK,FINALE,QUEST,LIFESTEAL,JADE_GOLEM,JADE_LOTUS,OVERKILL,CARD_COSTS_HEALTH,CHOOSE_ONE,INFUSE,TAG_SCRIPT_DATA_NUM_2,COST_BLOOD,COLOSSAL,TRANSFORMED_FROM_CARD_VISUAL_TYPE,START_OF_GAME,DISPLAY_CARD_ON_MOUSEOVER,COLOSSAL_LIMB_ON_LEFT,STEALTH,TRADEABLE,COLLECTIONMANAGER_FILTER_MANA_EVEN,SILENCE,FRENZY,EMPOWER,SPELLBURST,CORRUPT,RITUAL,EVILZUG,DORMANT,DECK_RULE_COUNT_AS_COPY_OF_CARD_ID,DEATH_KNIGHT,PLAYER_TAG_THRESHOLD_TAG_ID,PLAYER_TAG_THRESHOLD_VALUE,ADAPT,HEROPOWER_DAMAGE,DISCARD_CARDS,INSPIRE,ECHO,HONORABLEKILL,ENRAGED,RECRUIT,GRIMY_GOONS,MAGNETIC_TO_RACE,OVERHEAL,MULTIPLY_BUFF_VALUE,TARGETING_ARROW_TYPE,IMMUNE_WHILE_ATTACKING,CORRUPTEDCARD,VOODOO_LINK,COLLECTIONMANAGER_FILTER_MANA_ODD,SPARE_PART,EXTRA_DEATHRATTLES_BASE,SPELLPOWER_FIRE,DURABILITY,SPELLPOWER_NATURE,MEGA_WINDFURY,CASTSWHENDRAWN,FORGETFUL,FINISH_ATTACK_SPELL_ON_DAMAGE
"E.T.C., Band Manager",27.80%,1,59.00%,"20,000","https://hearthstone.fandom.com//wiki/E.T.C.,_Band_Manager",12.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Renathal,28.00%,1,52.90%,"18,000",https://hearthstone.fandom.com//wiki/Prince_Renathal,12.0,5.0,4.0,1.0,1.0,3.0,4.0,3.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astalor Bloodsworn,17.40%,1,58.50%,"16,000",https://hearthstone.fandom.com//wiki/Astalor_Bloodsworn,12.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zephrys the Great,17.80%,1,60.40%,"16,000",https://hearthstone.fandom.com//wiki/Zephrys_the_Great,12.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sir Finley, Sea Guide",18.60%,1,60.90%,"13,000","https://hearthstone.fandom.com//wiki/Sir_Finley,_Sea_Guide",12.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobold Librarian,5.00%,1.8,57.90%,"11,000",https://hearthstone.fandom.com//wiki/Kobold_Librarian,9.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,0.0,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Rat,10.30%,1.1,58.80%,"11,000",https://hearthstone.fandom.com//wiki/Dirty_Rat,12.0,4.0,4.0,1.0,0.0,2.0,6.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldlight Oracle,5.50%,1.7,50.50%,"10,000",https://hearthstone.fandom.com//wiki/Coldlight_Oracle,12.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,1.0,,,,,,,,,14.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eonar, the Life-Binder",5.90%,1,61.80%,"9,300","https://hearthstone.fandom.com//wiki/Eonar,_the_Life-Binder",2.0,5.0,4.0,1.0,1.0,10.0,7.0,5.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystallizer,3.10%,1.9,60.80%,"8,400",https://hearthstone.fandom.com//wiki/Crystallizer,12.0,4.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
